run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR3693016,SAMN05271244,I-D14,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2240892073;2605390266,8472350400,28241168,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/006/SRR3693016/SRR3693016_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/006/SRR3693016/SRR3693016_2.fastq.gz']","2 GB, 3 GB files; 28.2 million reads; 8472.4 million sequenced bases"
SRR3693017,SAMN05271245,I-D15,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2127443624;2489783995,8039109000,26797030,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/007/SRR3693017/SRR3693017_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/007/SRR3693017/SRR3693017_2.fastq.gz']","2 GB, 2 GB files; 26.8 million reads; 8039.1 million sequenced bases"
SRR3693108,SAMN05271251,I-D21,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2031304577;2376682753,7628491800,25428306,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/008/SRR3693108/SRR3693108_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/008/SRR3693108/SRR3693108_2.fastq.gz']","2 GB, 2 GB files; 25.4 million reads; 7628.5 million sequenced bases"
SRR3693372,SAMN05271253,II-D2,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2521396065;2791913139,8098642500,26995475,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693372/SRR3693372_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693372/SRR3693372_2.fastq.gz']","3 GB, 3 GB files; 27.0 million reads; 8098.6 million sequenced bases"
SRR3693382,SAMN05271256,II-D9,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2073592052;2274557780,6613279800,22044266,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693382/SRR3693382_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693382/SRR3693382_2.fastq.gz']","2 GB, 2 GB files; 22.0 million reads; 6613.3 million sequenced bases"
SRR3693384,SAMN05271257,II-D12,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2151367224;2380046158,6810610500,22702035,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3693384/SRR3693384_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3693384/SRR3693384_2.fastq.gz']","2 GB, 2 GB files; 22.7 million reads; 6810.6 million sequenced bases"
SRR3693386,SAMN05271258,II-D14,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2011353200;2211002238,6426470400,21421568,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/006/SRR3693386/SRR3693386_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/006/SRR3693386/SRR3693386_2.fastq.gz']","2 GB, 2 GB files; 21.4 million reads; 6426.5 million sequenced bases"
SRR3692996,SAMN05271229,I-D4,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2561718314;2968117457,9457776000,31525920,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/006/SRR3692996/SRR3692996_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/006/SRR3692996/SRR3692996_2.fastq.gz']","3 GB, 3 GB files; 31.5 million reads; 9457.8 million sequenced bases"
SRR3693009,SAMN05271238,I-D8,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1708924965;1990755698,6383743200,21279144,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/009/SRR3693009/SRR3693009_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/009/SRR3693009/SRR3693009_2.fastq.gz']","2 GB, 2 GB files; 21.3 million reads; 6383.7 million sequenced bases"
SRR3693020,SAMN05271247,I-D17,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1972050791;2285971978,7477224000,24924080,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/000/SRR3693020/SRR3693020_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/000/SRR3693020/SRR3693020_2.fastq.gz']","2 GB, 2 GB files; 24.9 million reads; 7477.2 million sequenced bases"
SRR3693021,SAMN05271248,I-D18,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2229841873;2588506081,8446453500,28154845,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693021/SRR3693021_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693021/SRR3693021_2.fastq.gz']","2 GB, 3 GB files; 28.2 million reads; 8446.5 million sequenced bases"
SRR3693141,SAMN05271252,I-D22,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1989072956;2324507943,7428597300,24761991,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693141/SRR3693141_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693141/SRR3693141_2.fastq.gz']","2 GB, 2 GB files; 24.8 million reads; 7428.6 million sequenced bases"
SRR3693374,SAMN05271254,II-D4,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2248795303;2482182307,7173114300,23910381,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3693374/SRR3693374_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3693374/SRR3693374_2.fastq.gz']","2 GB, 2 GB files; 23.9 million reads; 7173.1 million sequenced bases"
SRR3693381,SAMN05271255,II-D8,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2009038278;2209365679,6413862300,21379541,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693381/SRR3693381_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693381/SRR3693381_2.fastq.gz']","2 GB, 2 GB files; 21.4 million reads; 6413.9 million sequenced bases"
SRR3693401,SAMN05271260,II-D17,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2081103492;2279735805,6678345300,22261151,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693401/SRR3693401_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693401/SRR3693401_2.fastq.gz']","2 GB, 2 GB files; 22.3 million reads; 6678.3 million sequenced bases"
SRR3693011,SAMN05271240,I-D10,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1746949027;2037884295,6552468900,21841563,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693011/SRR3693011_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/001/SRR3693011/SRR3693011_2.fastq.gz']","2 GB, 2 GB files; 21.8 million reads; 6552.5 million sequenced bases"
SRR3693019,SAMN05271246,I-D16,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2269864300;2636065010,8585928900,28619763,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/009/SRR3693019/SRR3693019_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/009/SRR3693019/SRR3693019_2.fastq.gz']","2 GB, 3 GB files; 28.6 million reads; 8585.9 million sequenced bases"
SRR3693022,SAMN05271249,I-D19,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2988717937;3474891659,11177468400,37258228,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693022/SRR3693022_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693022/SRR3693022_2.fastq.gz']","3 GB, 3 GB files; 37.3 million reads; 11177.5 million sequenced bases"
SRR3693052,SAMN05271250,I-D20,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2081706840;2430726353,7815340200,26051134,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693052/SRR3693052_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693052/SRR3693052_2.fastq.gz']","2 GB, 2 GB files; 26.1 million reads; 7815.3 million sequenced bases"
SRR3693387,SAMN05271259,II-D16,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2119923575;2307472514,6768093300,22560311,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/007/SRR3693387/SRR3693387_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/007/SRR3693387/SRR3693387_2.fastq.gz']","2 GB, 2 GB files; 22.6 million reads; 6768.1 million sequenced bases"
SRR3693402,SAMN05271261,II-D21,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1981633975;2188264136,6202053900,20673513,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693402/SRR3693402_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693402/SRR3693402_2.fastq.gz']","2 GB, 2 GB files; 20.7 million reads; 6202.1 million sequenced bases"
SRR3693403,SAMN05271262,II-D27,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1805449377;1997765874,5694903300,18983011,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/003/SRR3693403/SRR3693403_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/003/SRR3693403/SRR3693403_2.fastq.gz']","2 GB, 2 GB files; 19.0 million reads; 5694.9 million sequenced bases"
